date,cpi_yoy,market_rate,emae_index,policy_rate,rem_12,d_fx,gap,rem_12_raw,cpi_yoy_raw,policy_rate_raw,market_rate_raw,rem_12_lag1,cpi_yoy_lag1,gap_lag1,d_fx_lag1,policy_rate_lag1,market_rate_lag1
2016-02-29,3.2268439945173775,3.305053521109253,147.11266149819804,3.4704124506836282,,11.409920030595613,-0.4450950399651883,,24.2,31.15,26.25,,3.1354942159291497,0.06066036124912312,,3.457892725338701,3.307344472855809
2016-03-31,3.3032169733019514,3.457892725338701,146.1369637478622,3.6635616461296463,,-6.633731386209009,-1.0099214216751267,,26.2,38.0,30.75,,3.2268439945173775,-0.4450950399651883,11.409920030595613,3.4704124506836282,3.305053521109253
2016-04-30,3.4011973816621555,3.4519697070355786,144.93432676559402,3.6635616461296463,,-2.219231159436218,-1.729709079249752,,29.0,38.0,30.5625,,3.3032169733019514,-1.0099214216751267,-2.277315120180965,3.6635616461296463,3.457892725338701
2016-05-31,3.529297384289471,3.4735180432417816,144.56638395810594,3.590439381300684,,-1.7687054637234256,-1.8843781832870519,,33.1,35.25,31.25,,3.4011973816621555,-1.729709079249752,-2.219231159436218,3.6635616461296463,3.4519697070355786
2016-06-30,3.6054978451748854,3.3187211598379167,144.2444770513703,3.457892725338701,3.1135153092103742,6.293123442669914,-2.0080357538096267,21.5,35.8,30.75,26.625,,3.529297384289471,-1.8843781832870519,-1.7687054637234256,3.590439381300684,3.4735180432417816
2016-07-31,3.632309102625542,3.2818506240295893,144.44491620256306,3.4420193761824107,3.122364924487357,0.8010723746078979,-1.776660258444132,21.7,36.8,30.25,25.625,3.1135153092103742,3.6054978451748854,-2.0080357538096267,6.293123442669914,3.457892725338701,3.3187211598379167
2016-08-31,3.597312260588446,3.2188758248682006,145.5175797063581,3.3758795736778655,3.131136910560194,-0.9352105570280175,-0.9510125437571894,21.9,35.5,28.25,24.0,3.122364924487357,3.632309102625542,-1.776660258444132,0.8010723746078979,3.4420193761824107,3.2818506240295893
2016-09-30,3.597312260588446,3.143613340367654,144.91998100590072,3.3232358401924436,3.095577608523707,2.38738129048975,-1.2615597688354525,21.1,35.5,26.75,22.1875,3.131136910560194,3.597312260588446,-0.9510125437571894,-0.9352105570280175,3.3758795736778655,3.2188758248682006
2016-10-31,3.6402142821326553,3.1245651453969594,144.96452863134448,3.3232358401924436,3.0155349008501706,-0.5915232495870063,-1.1345007072750168,19.4,37.1,26.75,21.75,3.095577608523707,3.597312260588446,-1.2615597688354525,2.38738129048975,3.3232358401924436,3.143613340367654
2016-11-30,3.629660094453965,3.062222014822824,145.66403681646824,3.248434627109745,3.044522437723423,4.321859302583893,-0.5597148835160526,20.0,36.7,24.75,20.375,3.0155349008501706,3.6402142821326553,-1.1345007072750168,-0.5915232495870063,3.3232358401924436,3.1245651453969594
