date,cpi_yoy,market_rate,emae_index,policy_rate,rem_12,d_fx,gap,rem_12_raw,cpi_yoy_raw,policy_rate_raw,market_rate_raw,rem_12_lag1,cpi_yoy_lag1,gap_lag1,d_fx_lag1,policy_rate_lag1,market_rate_lag1
2017-01-31,3.3978584803966405,2.9639835752394106,147.27591077177092,3.2088254890146994,2.9806186357439426,0.3785488958990557,-0.23501487928161424,19.7,29.9,24.75,19.375,2.975529566236472,3.4995332823830174,-0.40233804103113613,0.06313131313131493,3.2088254890146994,2.9894626605403958
2017-02-28,3.370738174177447,3.0050636009828753,146.93039201550872,3.2088254890146994,2.970414465569701,-2.8284098051539863,-0.4402633780225429,19.5,29.1,24.75,20.1875,2.9806186357439426,3.3978584803966405,-0.23501487928161424,0.3785488958990557,3.2088254890146994,2.9639835752394106
2017-03-31,3.342861804649192,2.9477230543676303,147.79482112294343,3.2088254890146994,2.91235066461494,-0.5174644243208237,0.18409900522797784,18.4,28.3,24.75,19.0625,2.970414465569701,3.370738174177447,-0.4402633780225429,-2.8284098051539863,3.2088254890146994,3.0050636009828753
2017-04-30,3.3105430133940246,2.995732273553991,147.6268781501468,3.2676659890376327,2.8622008809294686,0.32509752925877766,0.11739985511969309,17.5,27.4,26.25,20.0,2.91235066461494,3.342861804649192,0.18409900522797784,-0.5174644243208237,3.2088254890146994,2.9477230543676303
2017-05-31,3.1780538303479458,2.9988524008902346,148.52884126467694,3.2676659890376327,2.833213344056216,4.601425793907987,0.7838485525084593,17.0,24.0,26.25,20.0625,2.8622008809294686,3.3105430133940246,0.11739985511969309,0.32509752925877766,3.2676659890376327,2.995732273553991
2017-06-30,3.0819099697950434,3.001962823304627,150.17286846014534,3.2676659890376327,2.833213344056216,2.850061957868655,1.9533983199354843,17.0,21.8,26.25,20.125,2.833213344056216,3.1780538303479458,0.7838485525084593,4.601425793907987,3.2676659890376327,2.9988524008902346
2017-07-31,3.0633909220278057,3.0295296531372817,150.44288409535577,3.2676659890376327,2.8390784635086144,6.445783132530125,2.2142556794528367,17.1,21.4,26.25,20.6875,2.833213344056216,3.0819099697950434,1.9533983199354843,2.850061957868655,3.2676659890376327,3.001962823304627
2017-08-31,3.126760535960395,3.0534113851406692,150.42119077762925,3.2676659890376327,2.8449093838194073,-1.697792869269954,2.294408660935332,17.2,22.8,26.25,21.1875,2.8390784635086144,3.0633909220278057,2.2142556794528367,6.445783132530125,3.2676659890376327,3.0295296531372817
2017-09-30,3.169685580677429,3.079613757534693,151.22863619142828,3.2676659890376327,2.8273136219290276,-0.28785261945883933,2.9384398856466376,16.9,23.8,26.25,21.75,2.8449093838194073,3.126760535960395,2.294408660935332,-1.697792869269954,3.2676659890376327,3.0534113851406692
2017-10-31,3.122364924487357,3.1023420086122493,151.70547078085093,3.3232358401924436,2.8507065015037334,2.0207852193995457,3.3766176115285873,17.3,22.7,27.75,22.25,2.8273136219290276,3.169685580677429,2.9384398856466376,-0.28785261945883933,3.2676659890376327,3.079613757534693
2017-11-30,3.109060958860994,3.1489896974040343,152.50540710970964,3.3586377672433594,2.8622008809294686,-1.641199773627633,4.040966210576169,17.5,22.4,28.75,23.3125,2.8507065015037334,3.122364924487357,3.3766176115285873,2.0207852193995457,3.3232358401924436,3.1023420086122493
2017-12-31,3.2108436531709366,3.1463051320333655,152.1934033449549,3.3586377672433594,2.856470206220483,7.997698504027628,3.989828707145282,17.4,24.8,28.75,23.25,2.8622008809294686,3.109060958860994,4.040966210576169,-1.641199773627633,3.3586377672433594,3.1489896974040343
2018-01-31,3.2188758248682006,3.143613340367654,150.7357015861946,3.305053521109253,2.9231615807191558,4.688332445391574,3.1961602164741976,18.6,25.0,27.25,23.1875,2.856470206220483,3.2108436531709366,3.989828707145282,7.997698504027628,3.3586377672433594,3.1463051320333655
2018-02-28,3.2347491740244907,3.1273086313427103,151.89171452280348,3.305053521109253,2.8678989020441064,2.391857506361328,4.143567614517796,17.6,25.4,27.25,22.8125,2.9231615807191558,3.2188758248682006,3.1961602164741976,4.688332445391574,3.305053521109253,3.143613340367654
2018-03-31,3.2347491740244907,3.1162892360931,151.356147529209,3.305053521109253,2.8791984572980396,0.09940357852882276,3.9878098333181455,17.8,25.4,27.25,22.5625,2.8678989020441064,3.2347491740244907,4.143567614517796,2.391857506361328,3.305053521109253,3.1273086313427103
2018-04-30,3.2386784521643803,3.1273086313427103,146.84753936477492,3.4094961844768505,2.9014215940827497,2.7308838133068614,1.1743218688114787,18.2,25.5,30.25,22.8125,2.8791984572980396,3.2347491740244907,3.9878098333181455,0.09940357852882276,3.305053521109253,3.1162892360931
2018-05-31,3.269568939183719,3.4011973816621555,144.75182058556018,3.6888794541139363,3.100092288878234,20.589656839052672,-0.04058456790341225,22.2,26.3,40.0,30.0,2.9014215940827497,3.2386784521643803,1.1743218688114787,2.7308838133068614,3.4094961844768505,3.1273086313427103
2018-06-30,3.3843902633457743,3.4869927418251416,143.4682979331078,3.6888794541139363,3.186352633162641,15.671342685370737,-0.6980817559370855,24.2,29.5,40.0,32.6875,3.100092288878234,3.269568939183719,-0.04058456790341225,20.589656839052672,3.6888794541139363,3.4011973816621555
2018-07-31,3.4404180948154366,3.560690905899909,143.8882833656692,3.6888794541139363,3.1654750481410856,-5.266805266805264,-0.16323549312708963,23.7,31.2,40.0,35.1875,3.186352633162641,3.3843902633457743,-0.6980817559370855,15.671342685370737,3.6888794541139363,3.4869927418251416
2018-08-31,3.5380565643793527,3.674717140301432,146.68010201168326,4.0943445622221,3.449987545831587,35.80833942940747,2.009132250591783,31.5,34.4,60.0,39.4375,3.1654750481410856,3.4404180948154366,-0.16323549312708963,-5.266805266805264,3.6888794541139363,3.560690905899909
2018-09-30,3.7013019741124933,3.768441276950122,143.18985532414575,4.174387269895637,3.462606009790799,10.153514678157816,-0.14151739054160117,31.9,40.5,65.0,43.3125,3.449987545831587,3.5380565643793527,2.009132250591783,35.80833942940747,4.0943445622221,3.674717140301432
2018-10-31,3.8264651170664994,3.9415818076696905,143.42904872340154,4.220242729097475,3.4210000089583352,-11.491442542787278,0.2885782088856814,30.6,45.9,68.05,51.5,3.462606009790799,3.7013019741124933,-0.14151739054160117,10.153514678157816,4.174387269895637,3.768441276950122
2018-11-30,3.8815637979434374,3.9367156180185177,141.5266610303861,4.1067670822206574,3.353406717825807,5.027624309392276,-0.7792394569538175,28.6,48.5,60.75,51.25,3.4210000089583352,3.8264651170664994,0.2885782088856814,-11.491442542787278,4.220242729097475,3.9415818076696905
2018-12-31,3.8628327612373745,3.901972669574645,142.0314535513115,4.081765780015241,3.3568971227655755,-0.5523408732246216,-0.15291433273576516,28.7,47.6,59.25,49.5,3.353406717825807,3.8815637979434374,-0.7792394569538175,5.027624309392276,4.1067670822206574,3.9367156180185177
