date,cpi_yoy,target,cpi_log_return_1_months,cpi_log_return_6_months,cpi_log_return_12_months,rem_1_months,rem_6_months,rem_12_months,nlp_pred
2016-01-31,0.19885085874516517,0.11449896045519348,0.01787212476612185,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,0.025033176479084353
2016-02-29,0.21672298351128702,0.0870784708203772,0.01787212476612185,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,0.025033176479084353
2016-03-31,0.23269776411902143,0.07110369021264279,0.015974780607734412,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,0.022205447512330376
2016-04-30,0.25464221837358075,0.060898182206596596,0.02194445425455932,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,0.016979167656806085
2016-05-31,0.2859305394129745,0.026688018328837992,0.031288321039393774,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,0.0027237008501059213
2016-06-30,0.30601302913650447,-0.02008248972352994,0.02008248972352994,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,0.0027237008501059213
2016-07-31,0.31334981920035865,-0.05175508151189623,0.007336790063854182,0.11449896045519348,0.06274387894329725,-0.11126895234399262,-0.11126895234399262,-0.11126895234399262,-0.005848980162839954
2016-08-31,0.3038014543316642,-0.048384342467158836,-0.009548364868694426,0.0870784708203772,0.06274387894329725,-0.11696100519496846,-0.11126895234399262,-0.11126895234399262,-0.006268509729901014
2016-09-30,0.3038014543316642,-0.0546003686981649,0.0,0.07110369021264279,0.06274387894329725,-0.10577060383252987,-0.11126895234399262,-0.11126895234399262,-0.0038961731239598486
2016-10-31,0.31554040058017735,-0.07337884343020573,0.011738946248513127,0.060898182206596596,0.06274387894329725,-0.11235498976070896,-0.11126895234399262,-0.11126895234399262,0.0012932082524928917
2016-11-30,0.3126185577418125,-0.09750717812486703,-0.00292184283836483,0.026688018328837992,0.06274387894329725,-0.13823138560976705,-0.11126895234399262,-0.11126895234399262,0.0012932082524928917
2016-12-31,0.2859305394129745,-0.08872037012526926,-0.026688018328837992,-0.02008248972352994,0.06274387894329725,-0.13029700094785793,-0.11126895234399262,-0.11126895234399262,0.00145696101621328
2017-01-31,0.2615947376884624,-0.06767404505115593,-0.024335801724512107,-0.05175508151189623,0.06274387894329725,-0.10694788388453458,-0.11696100519496846,-0.11126895234399262,0.0016937125720030053
2017-02-28,0.2554171118645054,-0.05003028213955468,-0.006177625823957034,-0.048384342467158836,0.038694128353218366,-0.08177631111262626,-0.10577060383252987,-0.11126895234399262,0.0016937125720030053
2017-03-31,0.24920108563349933,-0.035703911371094965,-0.006216026231006061,-0.0546003686981649,0.016503321514477892,-0.07727092648103134,-0.11235498976070896,-0.11126895234399262,0.0032801479057673706
2017-04-30,0.24216155714997162,-0.03758939142119733,-0.007039528483527707,-0.07337884343020573,-0.012480661223609135,-0.08030254917168544,-0.13823138560976705,-0.11126895234399262,0.0024313835976493637
2017-05-31,0.2151113796169455,-0.012987195526811157,-0.027050177533026132,-0.09750717812486703,-0.07081915979602904,-0.0808934095538493,-0.13029700094785793,-0.11126895234399262,0.0018142445021568797
2017-06-30,0.19721016928770527,0.024332100659530648,-0.01790121032924022,-0.08872037012526926,-0.1088028598487992,-0.05810763080728079,-0.10694788388453458,-0.11126895234399262,0.0018142445021568797
2017-07-31,0.1939206926373065,0.029222858676903274,-0.003289476650398776,-0.06767404505115593,-0.11942912656305216,-0.04020642047804057,-0.08177631111262626,-0.11696100519496846,0.0017966786070279606
2017-08-31,0.2053868297249507,0.02095161248577826,0.011466137087644213,-0.05003028213955468,-0.09841462460671352,-0.03606260802172617,-0.07727092648103134,-0.10577060383252987,0.003100062699207862
2017-09-30,0.21349717426240436,0.012841267948324603,0.008110344537453656,-0.035703911371094965,-0.09030428006925986,-0.04667513857012989,-0.08030254917168544,-0.11235498976070896,0.0029884074336402134
2017-10-31,0.2045721657287743,0.022563406854972823,-0.008925008533630069,-0.03758939142119733,-0.11096823485140306,-0.057348491772472976,-0.0808934095538493,-0.13823138560976705,0.004479955490759651
2017-11-30,0.20212418409013433,0.03136565927821966,-0.002447981638639962,-0.012987195526811157,-0.11049437365167819,-0.045007596057435845,-0.05810763080728079,-0.13029700094785793,0.004479955490759651
2017-12-31,0.22154226994723591,0.036968425204265076,0.019418085857101586,0.024332100659530648,-0.06438826946573861,-0.04085603649401201,-0.04020642047804057,-0.10694788388453458,0.0050248735896736415
2018-01-31,0.22314355131420976,0.04840913920768758,0.0016012813669738502,0.029222858676903274,-0.038451186374252655,-0.06112554854133126,-0.03606260802172617,-0.08177631111262626,0.005787045358647969
2018-02-28,0.22633844221072896,0.06931179989022873,0.003194890896519198,0.02095161248577826,-0.029078669653776423,-0.05255725073867609,-0.04667513857012989,-0.07727092648103134,0.005787045358647969
2018-03-31,0.22633844221072896,0.11369886057498013,0.0,0.012841267948324603,-0.022862643422770362,-0.06421959273429384,-0.057348491772472976,-0.08030254917168544,0.004898539852250966
2018-04-30,0.22713557258374711,0.15061569695690152,0.0007971303730181512,0.022563406854972823,-0.015025984566224504,-0.06252035698133404,-0.045007596057435845,-0.0808934095538493,0.005516343012022319
2018-05-31,0.233489843368354,0.16192492888630888,0.006354270784606875,0.03136565927821966,0.018378463751408503,-0.0599276535998407,-0.04085603649401201,-0.05810763080728079,0.006661975758091059
